parte,variante,termino,est,ic_inf,ic_sup,p
1_presencia_logit,principal,Intercept,7.62845231360137e-09,3.3238262216720647e-11,1.7507920336345294e-06,1.5914898366580876e-11
1_presencia_logit,principal,C(cuartil)[T.2],0.7569225417831476,0.31704032558623346,1.8071257440203012,0.5305059829240506
1_presencia_logit,principal,C(cuartil)[T.3],0.8942346240051127,0.3122930997334006,2.5605931205403447,0.8350231844281092
1_presencia_logit,principal,C(cuartil)[T.4],1.3737047156665385,0.3660066347175493,5.155820870025349,0.6379869018231625
1_presencia_logit,principal,C(cod_reg)[T.2],0.4321353397494763,0.006370637470753599,29.312757587869037,0.6965721942207534
1_presencia_logit,principal,C(cod_reg)[T.3],0.15371283516238507,0.003995352566413846,5.913779898244695,0.31461198376837385
1_presencia_logit,principal,C(cod_reg)[T.4],0.028872809972019468,0.0010901396458481915,0.7647085938533383,0.03396983147206995
1_presencia_logit,principal,C(cod_reg)[T.5],0.005781768812852549,0.00025147924193832266,0.13292886660392061,0.0012751511538071458
1_presencia_logit,principal,C(cod_reg)[T.6],0.02067677692394687,0.000981593754971666,0.4355458679288384,0.012613610882813665
1_presencia_logit,principal,C(cod_reg)[T.7],0.0013595257123486357,5.158740126130934e-05,0.035828712386086085,7.675569059209118e-05
1_presencia_logit,principal,C(cod_reg)[T.8],0.001675464745773849,6.452595454311378e-05,0.0435046972060735,0.0001197819014196517
1_presencia_logit,principal,C(cod_reg)[T.9],0.0020660555635429035,8.277082978755079e-05,0.0515711344516278,0.00016582383793552693
1_presencia_logit,principal,C(cod_reg)[T.10],0.006293415245546753,0.00028530466003166843,0.1388237943554233,0.00132316429014198
1_presencia_logit,principal,C(cod_reg)[T.11],0.007350306936326593,8.618608703363913e-05,0.6268646589921596,0.030322916718233568
1_presencia_logit,principal,C(cod_reg)[T.12],0.0064368022907824625,5.453833973399122e-05,0.7596935281254902,0.03818407842246806
1_presencia_logit,principal,C(cod_reg)[T.13],0.007627860360828164,0.00023643913120739783,0.2460855501674806,0.005941046976431241
1_presencia_logit,principal,C(cod_reg)[T.14],0.0020191586497403397,6.897495319872093e-05,0.0591084366679474,0.0003161834178908558
1_presencia_logit,principal,C(cod_reg)[T.15],0.0036353707818808237,7.409926180388124e-16,17835428316.049103,0.7063592656861739
1_presencia_logit,principal,C(cod_reg)[T.16],0.0054634984347480325,0.000230261923794856,0.1296341776988186,0.0012619725148062038
1_presencia_logit,principal,log_pob,11.873204713328526,6.290800776213675,22.409387163816046,2.2640611608840066e-14
2_intensidad_nb,principal,Intercept,0.06366167769573987,0.012474395709056311,0.3248902232670042,0.0009266507909409074
2_intensidad_nb,principal,C(cuartil)[T.2],0.8685286469773877,0.5434446283485499,1.3880751989631561,0.5557180607085926
2_intensidad_nb,principal,C(cuartil)[T.3],0.9934613586287473,0.6206200138911886,1.5902894669805445,0.978197428616781
2_intensidad_nb,principal,C(cuartil)[T.4],0.6334813225265169,0.3854257318779389,1.04118265284123,0.07173853592696512
2_intensidad_nb,principal,"C(clasif, Treatment(reference=""Rural""))[T.Mixta]",1.7415438381655883,1.1737831426159882,2.583931247720082,0.0058521667362781095
2_intensidad_nb,principal,"C(clasif, Treatment(reference=""Rural""))[T.Urbana]",3.9892543345074176,2.223496347465494,7.157263902648793,3.4948984873591076e-06
2_intensidad_nb,principal,C(cod_reg)[T.2],0.19449256017071073,0.06973362154578149,0.5424550614644779,0.0017556617889168708
2_intensidad_nb,principal,C(cod_reg)[T.3],0.14028868828721713,0.05176340637547251,0.3802090596316233,0.00011293177775826424
2_intensidad_nb,principal,C(cod_reg)[T.4],0.059368067475659834,0.021950625203601783,0.16056797485732516,2.652239356196368e-08
2_intensidad_nb,principal,C(cod_reg)[T.5],0.06635190168266898,0.026579734253361863,0.1656365264957351,6.1729513381092194e-09
2_intensidad_nb,principal,C(cod_reg)[T.6],0.036758386004420066,0.014810695710023487,0.0912299440961104,1.059434517304273e-12
2_intensidad_nb,principal,C(cod_reg)[T.7],0.05486628799608973,0.02002904094003922,0.1502972392678112,1.6429018662188703e-08
2_intensidad_nb,principal,C(cod_reg)[T.8],0.04906074645269871,0.01874536184574213,0.12840279437138266,8.181044757266694e-10
2_intensidad_nb,principal,C(cod_reg)[T.9],0.031069012610432913,0.011502278771988316,0.0839210702263633,7.516465003805328e-12
2_intensidad_nb,principal,C(cod_reg)[T.10],0.052096821904453486,0.01942612950068065,0.13971279520448215,4.348799893576914e-09
2_intensidad_nb,principal,C(cod_reg)[T.11],0.29284522482602476,0.06160736782362448,1.39201411670309,0.12256201886454879
2_intensidad_nb,principal,C(cod_reg)[T.12],0.16949166082936087,0.03514072758749186,0.8174965364382627,0.02703765132559856
2_intensidad_nb,principal,C(cod_reg)[T.13],0.0503912236810923,0.019973971747665808,0.1271292187731577,2.476604880437e-10
2_intensidad_nb,principal,C(cod_reg)[T.14],0.03531069643025245,0.010850762993040748,0.11490853529739063,2.794355063405121e-08
2_intensidad_nb,principal,C(cod_reg)[T.15],0.3868926389161906,0.041078886042362116,3.6438649746532086,0.40659031608161833
2_intensidad_nb,principal,C(cod_reg)[T.16],0.019634118250484122,0.00702635251456478,0.05486468244724439,6.544688285512008e-14
2_intensidad_nb,principal,log_pob,0.8289284047644714,0.6662322788091932,1.031355462772708,0.09237191275515816
2_intensidad_nb,principal,alpha,1.8209604388461642,1.6056517623068598,2.065140771918579,1.0047259115006499e-20
1_presencia_logit,a_sin_bajo_umbral,Intercept,8.384825175170359e-05,0.0,inf,0.9974079389427308
1_presencia_logit,a_sin_bajo_umbral,C(cuartil)[T.2],0.6645119587263186,0.2573229565537497,1.7160386667563106,0.3984800547949213
1_presencia_logit,a_sin_bajo_umbral,C(cuartil)[T.3],0.5512663247024114,0.17738711442060484,1.7131715668497556,0.3032868806598572
1_presencia_logit,a_sin_bajo_umbral,C(cuartil)[T.4],1.1570213748959317,0.27450899555389335,4.876701615059643,0.8424948099006682
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.2],6.926884806673048,0.0,inf,0.9998541881234995
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.3],0.09079785918868942,0.0,inf,0.9993619694628245
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.4],2.1537651142042984e-08,0.0,inf,0.995125054555647
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.5],5.314446739137797e-09,0.0,inf,0.9947386273660465
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.6],2.7317565739830906e-08,0.0,inf,0.9951907011839984
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.7],1.1894113617707526e-09,0.0,inf,0.9943252511618975
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.8],1.3845825172123549e-09,0.0,inf,0.9943672081170367
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.9],1.770130112242558e-09,0.0,inf,0.9944350435161708
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.10],5.697529610698752e-09,0.0,inf,0.9947578479128747
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.11],2.6662983605876853,0.0,inf,0.9999817347521405
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.12],7.865350371092134e-09,0.0,inf,0.9948468871351284
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.13],7.867215596350462e-09,0.0,inf,0.9948469514559788
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.14],1.891958692289654e-09,0.0,inf,0.9944534234588166
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.15],0.02116842960854147,0.0,inf,0.9999675449381953
1_presencia_logit,a_sin_bajo_umbral,C(cod_reg)[T.16],4.133997978732136e-09,0.0,inf,0.9946692648959867
1_presencia_logit,a_sin_bajo_umbral,log_pob,19.10919274440201,8.193057059966014,44.56959650958675,8.631028919415019e-12
2_intensidad_nb,a_sin_bajo_umbral,Intercept,2.7586094183239502e-05,2.65728279551632e-06,0.0002863799794175451,1.4539501395801492e-18
2_intensidad_nb,a_sin_bajo_umbral,C(cuartil)[T.2],1.1320995949191512,0.7626937891745657,1.6804247143577589,0.5380994707140206
2_intensidad_nb,a_sin_bajo_umbral,C(cuartil)[T.3],1.172794247660154,0.7875154209898746,1.7465643347223188,0.43280442444569067
2_intensidad_nb,a_sin_bajo_umbral,C(cuartil)[T.4],0.6919336257193481,0.4552954517319521,1.0515636397856933,0.08461400688872654
2_intensidad_nb,a_sin_bajo_umbral,"C(clasif, Treatment(reference=""Rural""))[T.Mixta]",1.4284093760900982,1.0062090820345564,2.027762800129478,0.04608762171079413
2_intensidad_nb,a_sin_bajo_umbral,"C(clasif, Treatment(reference=""Rural""))[T.Urbana]",1.4410754518116689,0.8500093887745915,2.4431476701781607,0.17490546573821408
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.2],0.7542569634399938,0.3033643103360501,1.8753147536291281,0.5439248760750393
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.3],0.7598584919250019,0.31368397311128754,1.8406580419895917,0.5429434088657543
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.4],0.21648872242427103,0.09217636265677892,0.5084532041192049,0.0004437645486232976
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.5],0.2864963903811419,0.12975297137825068,0.6325880696955044,0.0019808745595903832
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.6],0.16541781103321998,0.07516848233549381,0.364022943617441,7.78278523074293e-06
